nps,material,identifier,od,thickness
1/8,stainless,10S,0.405,0.049
1/8,iron,STD,0.405,0.068
1/8,steel,40,0.405,0.068
1/8,stainless,40S,0.405,0.068
1/8,iron,XS,0.405,0.095
1/8,steel,80,0.405,0.095
1/8,stainless,80S,0.405,0.095
1/4,stainless,10S,0.54,0.065
1/4,iron,STD,0.54,0.088
1/4,steel,40,0.54,0.088
1/4,stainless,40S,0.54,0.088
1/4,iron,XS,0.54,0.119
1/4,steel,80,0.54,0.119
1/4,stainless,80S,0.54,0.119
3/8,stainless,10S,0.675,0.065
3/8,iron,STD,0.675,0.091
3/8,steel,40,0.675,0.091
3/8,stainless,40S,0.675,0.091
3/8,iron,XS,0.675,0.126
3/8,steel,80,0.675,0.126
3/8,stainless,80S,0.675,0.126
1/2,stainless,5S,0.84,0.065
1/2,stainless,10S,0.84,0.083
1/2,iron,STD,0.84,0.109
1/2,steel,40,0.84,0.109
1/2,stainless,40S,0.84,0.109
1/2,iron,XS,0.84,0.147
1/2,steel,80,0.84,0.147
1/2,stainless,80S,0.84,0.147
1/2,steel,160,0.84,0.187
1/2,iron,XXS,0.84,0.294
3/4,stainless,5S,1.05,0.065
3/4,stainless,10S,1.05,0.083
3/4,iron,STD,1.05,0.113
3/4,steel,40,1.05,0.113
3/4,stainless,40S,1.05,0.113
3/4,iron,XS,1.05,0.154
3/4,steel,80,1.05,0.154
3/4,stainless,80S,1.05,0.154
3/4,steel,160,1.05,0.219
3/4,iron,XXS,1.05,0.308
1,stainless,5S,1.315,0.065
1,stainless,10S,1.315,0.109
1,iron,STD,1.315,0.133
1,steel,40,1.315,0.133
1,stainless,40S,1.315,0.133
1,iron,XS,1.315,0.179
1,steel,80,1.315,0.179
1,stainless,80S,1.315,0.179
1,steel,160,1.315,0.25
1,iron,XXS,1.315,0.358
1 1/4,stainless,5S,1.66,0.065
1 1/4,stainless,10S,1.66,0.109
1 1/4,iron,STD,1.66,0.14
1 1/4,steel,40,1.66,0.14
1 1/4,stainless,40S,1.66,0.14
1 1/4,iron,XS,1.66,0.191
1 1/4,steel,80,1.66,0.191
1 1/4,stainless,80S,1.66,0.191
1 1/4,steel,160,1.66,0.25
1 1/4,iron,XXS,1.66,0.382
1 1/2,stainless,5S,1.9,0.065
1 1/2,stainless,10S,1.9,0.109
1 1/2,iron,STD,1.9,0.145
1 1/2,steel,40,1.9,0.145
1 1/2,stainless,40S,1.9,0.145
1 1/2,iron,XS,1.9,0.2
1 1/2,steel,80,1.9,0.2
1 1/2,stainless,80S,1.9,0.2
1 1/2,steel,160,1.9,0.281
1 1/2,iron,XXS,1.9,0.4
2,stainless,5S,2.375,0.065
2,stainless,10S,2.375,0.109
2,iron,STD,2.375,0.154
2,steel,40,2.375,0.154
2,stainless,40S,2.375,0.154
2,iron,XS,2.375,0.218
2,steel,80,2.375,0.218
2,stainless,80S,2.375,0.218
2,steel,160,2.375,0.344
2,iron,XXS,2.375,0.436
2 1/2,stainless,5S,2.875,0.083
2 1/2,stainless,10S,2.875,0.12
2 1/2,iron,STD,2.875,0.203
2 1/2,steel,40,2.875,0.203
2 1/2,stainless,40S,2.875,0.203
2 1/2,iron,XS,2.875,0.276
2 1/2,steel,80,2.875,0.276
2 1/2,stainless,80S,2.875,0.276
2 1/2,steel,160,2.875,0.375
2 1/2,iron,XXS,2.875,0.552
3,stainless,5S,3.5,0.083
3,stainless,10S,3.5,0.12
3,iron,STD,3.5,0.216
3,steel,40,3.5,0.216
3,stainless,40S,3.5,0.216
3,iron,XS,3.5,0.3
3,steel,80,3.5,0.3
3,stainless,80S,3.5,0.3
3,steel,160,3.5,0.438
3,iron,XXS,3.5,0.6
3 1/2,stainless,5S,4.0,0.083
3 1/2,stainless,10S,4.0,0.12
3 1/2,iron,STD,4.0,0.226
3 1/2,steel,40,4.0,0.226
3 1/2,stainless,40S,4.0,0.226
3 1/2,iron,XS,4.0,0.318
3 1/2,steel,80,4.0,0.318
3 1/2,stainless,80S,4.0,0.318
4,stainless,5S,4.5,0.083
4,stainless,10S,4.5,0.12
4,iron,STD,4.5,0.237
4,steel,40,4.5,0.237
4,stainless,40S,4.5,0.237
4,iron,XS,4.5,0.337
4,steel,80,4.5,0.337
4,stainless,80S,4.5,0.337
4,steel,120,4.5,0.438
4,steel,160,4.5,0.531
4,iron,XXS,4.5,0.674
5,stainless,5S,5.563,0.109
5,stainless,10S,5.563,0.134
5,iron,STD,5.563,0.258
5,steel,40,5.563,0.258
5,stainless,40S,5.563,0.258
5,iron,XS,5.563,0.375
5,steel,80,5.563,0.375
5,stainless,80S,5.563,0.375
5,steel,120,5.563,0.5
5,steel,160,5.563,0.625
5,iron,XXS,5.563,0.75
6,stainless,5S,6.625,0.109
6,stainless,10S,6.625,0.134
6,iron,STD,6.625,0.28
6,steel,40,6.625,0.28
6,stainless,40S,6.625,0.28
6,iron,XS,6.625,0.432
6,steel,80,6.625,0.432
6,stainless,80S,6.625,0.432
6,steel,120,6.625,0.562
6,steel,160,6.625,0.718
6,iron,XXS,6.625,0.864
8,stainless,5S,8.625,0.109
8,stainless,10S,8.625,0.148
8,steel,20,8.625,0.25
8,steel,30,8.625,0.277
8,iron,STD,8.625,0.322
8,steel,40,8.625,0.322
8,stainless,40S,8.625,0.322
8,steel,60,8.625,0.406
8,iron,XS,8.625,0.5
8,steel,80,8.625,0.5
8,stainless,80S,8.625,0.5
8,steel,100,8.625,0.594
8,steel,120,8.625,0.719
8,steel,140,8.625,0.812
8,iron,XXS,8.625,0.875
8,steel,160,8.625,0.906
10,stainless,5S,10.75,0.134
10,stainless,10S,10.75,0.165
10,steel,20,10.75,0.25
10,steel,30,10.75,0.307
10,iron,STD,10.75,0.365
10,steel,40,10.75,0.365
10,stainless,40S,10.75,0.365
10,iron,XS,10.75,0.5
10,steel,60,10.75,0.5
10,stainless,80S,10.75,0.5
10,steel,80,10.75,0.594
10,steel,100,10.75,0.719
10,steel,120,10.75,0.844
10,steel,140,10.75,1.0
10,steel,160,10.75,1.125
12,stainless,5S,12.75,0.156
12,stainless,10S,12.75,0.18
12,steel,20,12.75,0.25
12,steel,30,12.75,0.33
12,iron,STD,12.75,0.375
12,stainless,40S,12.75,0.375
12,steel,40,12.75,0.406
12,iron,XS,12.75,0.5
12,stainless,80S,12.75,0.5
12,steel,60,12.75,0.562
12,steel,80,12.75,0.688
12,steel,100,12.75,0.844
12,steel,120,12.75,1.0
12,steel,140,12.75,1.125
12,steel,160,12.75,1.312
14,stainless,5S,14.0,0.156
14,stainless,10S,14.0,0.188
14,steel,10,14.0,0.25
14,steel,20,14.0,0.312
14,iron,STD,14.0,0.375
14,steel,30,14.0,0.375
14,steel,40,14.0,0.438
14,iron,XS,14.0,0.5
14,steel,60,14.0,0.594
14,steel,80,14.0,0.75
14,steel,100,14.0,0.938
14,steel,120,14.0,1.094
14,steel,140,14.0,1.25
14,steel,160,14.0,1.406
16,stainless,5S,16.0,0.165
16,stainless,10S,16.0,0.188
16,steel,10,16.0,0.25
16,steel,20,16.0,0.312
16,iron,STD,16.0,0.375
16,steel,30,16.0,0.375
16,iron,XS,16.0,0.5
16,steel,40,16.0,0.5
16,steel,60,16.0,0.656
16,steel,80,16.0,0.844
16,steel,100,16.0,1.031
16,steel,120,16.0,1.219
16,steel,140,16.0,1.438
16,steel,160,16.0,1.594
18,stainless,5S,18.0,0.165
18,stainless,10S,18.0,0.188
18,steel,10,18.0,0.25
18,steel,20,18.0,0.312
18,iron,STD,18.0,0.375
18,steel,30,18.0,0.438
18,iron,XS,18.0,0.5
18,steel,40,18.0,0.562
18,steel,60,18.0,0.75
18,steel,80,18.0,0.938
18,steel,100,18.0,1.156
18,steel,120,18.0,1.375
18,steel,140,18.0,1.562
18,steel,160,18.0,1.781
20,stainless,5S,20.0,0.188
20,stainless,10S,20.0,0.218
20,steel,10,20.0,0.25
20,iron,STD,20.0,0.375
20,steel,20,20.0,0.375
20,iron,XS,20.0,0.5
20,steel,30,20.0,0.5
20,steel,40,20.0,0.594
20,steel,60,20.0,0.812
20,steel,80,20.0,1.031
20,steel,100,20.0,1.281
20,steel,120,20.0,1.5
20,steel,140,20.0,1.75
20,steel,160,20.0,1.969
22,stainless,5S,22.0,0.188
22,stainless,10S,22.0,0.218
22,steel,10,22.0,0.25
22,iron,STD,22.0,0.375
22,steel,20,22.0,0.375
22,iron,XS,22.0,0.5
22,steel,30,22.0,0.5
22,steel,60,22.0,0.875
22,steel,80,22.0,1.125
22,steel,100,22.0,1.375
22,steel,120,22.0,1.625
22,steel,140,22.0,1.875
22,steel,160,22.0,2.125
24,stainless,5S,24.0,0.218
24,steel,10,24.0,0.25
24,stainless,10S,24.0,0.25
24,iron,STD,24.0,0.375
24,steel,20,24.0,0.375
24,iron,XS,24.0,0.5
24,steel,30,24.0,0.562
24,steel,40,24.0,0.688
24,steel,60,24.0,0.969
24,steel,80,24.0,1.219
24,steel,100,24.0,1.531
24,steel,120,24.0,1.812
24,steel,140,24.0,2.062
24,steel,160,24.0,2.344
